Вопрос,Ответ
Какой будет погода завтра?,Завтра ожидается солнечная погода.
Какие достопримечательности есть в Париже?,"В Париже можно посетить Эйфелеву башню, Лувр и Нотр-Дам."
Какая столица Франции?,Столица Франции - Париж.
Сколько дней в году?,В году 365 дней (366 дней в високосный год).
Какой самый высокий город на Земле?,"Самым высоким городом на Земле является Ла-Пас, Боливия."
Какой язык говорят в Японии?,В Японии официальным языком является японский.
Какие цветы обычно дарят на День Святого Валентина?,На День Святого Валентина обычно дарят красные розы.
Какой символ обозначает мир на флаге ООН?,Символ мира на флаге ООН - это миролюбивая голубая голубь.
Как называется научное исследование о звездах и космосе?,Научное исследование о звездах и космосе называется астрономией.
Какой газ составляет большую часть атмосферы Земли?,"Газ, составляющий большую часть атмосферы Земли, - это азот."
Кто написал роман 'Преступление и наказание?,Роман 'Преступление и наказание' написан Фёдором Достоевским.
Какая планета считается 'Утренней Звездой'?,Утренней Звездой' считается Венера.
Какой сегодня день недели?,Сегодня понедельник.
Какой сегодня день недели?,Сегодня вторник.
Какой сегодня день недели?,Сегодня среда.
Какой сегодня день недели?,Сегодня четверг.
Какой сегодня день недели?,Сегодня пятница.
Какой сегодня день недели?,Сегодня суббота.
Какой сегодня день недели?,Сегодня воскресенье.
Как дела?,"Простите, но я лишь машина и не способен ответить на подобный вопрос, но искренне надеюсь, что у вас все прекрасно!"
Как ты?,"Простите, но я лишь машина и не способен ответить на подобный вопрос, но искренне надеюсь, что у вас все прекрасно!"
Как твоё самочувствие?,"Простите, но я лишь машина и не способен ответить на подобный вопрос, но искренне надеюсь, что у вас все прекрасно!"
Как ты себя чувствуешь?,"Простите, но я лишь машина и не способен ответить на подобный вопрос, но искренне надеюсь, что у вас все прекрасно!"
Сколько языков в мире?,"На момент моего создания, в мире 7151 языков."
Сколько языков являются мировыми?,"На момент моего создания, всего 8 языков считаются мировыми."
Какие языки являются мировыми?,"На момент моего создания таковыми языками являются:Английский, Русский, Арабский, Испанский, Китайский, Французский, Португальский, Немецкий."
